Hypothesis,Group,Predictor,Outcome,n,Normality predictor,Normality outcome,Method,Coefficient,R2,p-value,Significance,Result,Interpretation sentence
H1,Men U20,CMJ height (cm),Snatch (kg),51,normal,non-normal,Spearman rho,-0.199,0.039,0.163,ns,not statistically significant,"In Men U20, CMJ height (cm) showed a weak negative association with Snatch (kg) (Spearman rho, rho = -0.20, R² = 0.04, p = 0.163), which was not statistically significant."
H1,Men U20,CMJ height (cm),Clean & Jerk (kg),51,normal,non-normal,Spearman rho,-0.247,0.061,0.081,ns,not statistically significant,"In Men U20, CMJ height (cm) showed a weak negative association with Clean & Jerk (kg) (Spearman rho, rho = -0.25, R² = 0.06, p = 0.081), which was not statistically significant."
H1,Men U20,CMJ height (cm),Total (kg),51,normal,non-normal,Spearman rho,-0.237,0.056,0.095,ns,not statistically significant,"In Men U20, CMJ height (cm) showed a weak negative association with Total (kg) (Spearman rho, rho = -0.24, R² = 0.06, p = 0.095), which was not statistically significant."
H1,Men U20,CMJ height (cm),Snatch Sinclair score,51,normal,normal,Pearson r,0.035,0.001,0.808,ns,not statistically significant,"In Men U20, CMJ height (cm) showed a negligible positive association with Snatch Sinclair score (Pearson r, r = 0.03, R² = 0.00, p = 0.808), which was not statistically significant."
H1,Men U20,CMJ height (cm),Clean & Jerk Sinclair score,51,normal,non-normal,Spearman rho,0.059,0.003,0.682,ns,not statistically significant,"In Men U20, CMJ height (cm) showed a negligible positive association with Clean & Jerk Sinclair score (Spearman rho, rho = 0.06, R² = 0.00, p = 0.682), which was not statistically significant."
H1,Men U20,CMJ height (cm),Total Sinclair score (calculated),51,normal,non-normal,Spearman rho,0.061,0.004,0.669,ns,not statistically significant,"In Men U20, CMJ height (cm) showed a negligible positive association with Total Sinclair score (calculated) (Spearman rho, rho = 0.06, R² = 0.00, p = 0.669), which was not statistically significant."
H1,Men U20,CMJ height (cm),Sinclair score,51,normal,non-normal,Spearman rho,0.06,0.004,0.674,ns,not statistically significant,"In Men U20, CMJ height (cm) showed a negligible positive association with Sinclair score (Spearman rho, rho = 0.06, R² = 0.00, p = 0.674), which was not statistically significant."
H1,Men U20,SJ height (cm),Snatch (kg),49,normal,non-normal,Spearman rho,-0.009,0.0,0.951,ns,not statistically significant,"In Men U20, SJ height (cm) showed a negligible negative association with Snatch (kg) (Spearman rho, rho = -0.01, R² = 0.00, p = 0.951), which was not statistically significant."
H1,Men U20,SJ height (cm),Clean & Jerk (kg),49,normal,non-normal,Spearman rho,-0.082,0.007,0.577,ns,not statistically significant,"In Men U20, SJ height (cm) showed a negligible negative association with Clean & Jerk (kg) (Spearman rho, rho = -0.08, R² = 0.01, p = 0.577), which was not statistically significant."
H1,Men U20,SJ height (cm),Total (kg),49,normal,non-normal,Spearman rho,-0.047,0.002,0.75,ns,not statistically significant,"In Men U20, SJ height (cm) showed a negligible negative association with Total (kg) (Spearman rho, rho = -0.05, R² = 0.00, p = 0.750), which was not statistically significant."
H1,Men U20,SJ height (cm),Snatch Sinclair score,49,normal,normal,Pearson r,0.194,0.038,0.182,ns,not statistically significant,"In Men U20, SJ height (cm) showed a weak positive association with Snatch Sinclair score (Pearson r, r = 0.19, R² = 0.04, p = 0.182), which was not statistically significant."
H1,Men U20,SJ height (cm),Clean & Jerk Sinclair score,49,normal,non-normal,Spearman rho,0.172,0.03,0.236,ns,not statistically significant,"In Men U20, SJ height (cm) showed a weak positive association with Clean & Jerk Sinclair score (Spearman rho, rho = 0.17, R² = 0.03, p = 0.236), which was not statistically significant."
H1,Men U20,SJ height (cm),Total Sinclair score (calculated),49,normal,non-normal,Spearman rho,0.189,0.036,0.194,ns,not statistically significant,"In Men U20, SJ height (cm) showed a weak positive association with Total Sinclair score (calculated) (Spearman rho, rho = 0.19, R² = 0.04, p = 0.194), which was not statistically significant."
H1,Men U20,SJ height (cm),Sinclair score,49,normal,non-normal,Spearman rho,0.187,0.035,0.198,ns,not statistically significant,"In Men U20, SJ height (cm) showed a weak positive association with Sinclair score (Spearman rho, rho = 0.19, R² = 0.03, p = 0.198), which was not statistically significant."
H1,Men U23,CMJ height (cm),Snatch (kg),30,normal,normal,Pearson r,0.133,0.018,0.484,ns,not statistically significant,"In Men U23, CMJ height (cm) showed a weak positive association with Snatch (kg) (Pearson r, r = 0.13, R² = 0.02, p = 0.484), which was not statistically significant."
H1,Men U23,CMJ height (cm),Clean & Jerk (kg),30,normal,normal,Pearson r,0.108,0.012,0.57,ns,not statistically significant,"In Men U23, CMJ height (cm) showed a weak positive association with Clean & Jerk (kg) (Pearson r, r = 0.11, R² = 0.01, p = 0.570), which was not statistically significant."
H1,Men U23,CMJ height (cm),Total (kg),30,normal,normal,Pearson r,0.12,0.014,0.526,ns,not statistically significant,"In Men U23, CMJ height (cm) showed a weak positive association with Total (kg) (Pearson r, r = 0.12, R² = 0.01, p = 0.526), which was not statistically significant."
H1,Men U23,CMJ height (cm),Snatch Sinclair score,30,normal,normal,Pearson r,0.393,0.155,0.031,*,statistically significant,"In Men U23, CMJ height (cm) showed a moderate positive association with Snatch Sinclair score (Pearson r, r = 0.39, R² = 0.15, p = 0.031), which was statistically significant."
H1,Men U23,CMJ height (cm),Clean & Jerk Sinclair score,30,normal,normal,Pearson r,0.368,0.135,0.046,*,statistically significant,"In Men U23, CMJ height (cm) showed a moderate positive association with Clean & Jerk Sinclair score (Pearson r, r = 0.37, R² = 0.14, p = 0.046), which was statistically significant."
H1,Men U23,CMJ height (cm),Total Sinclair score (calculated),30,normal,normal,Pearson r,0.389,0.151,0.034,*,statistically significant,"In Men U23, CMJ height (cm) showed a moderate positive association with Total Sinclair score (calculated) (Pearson r, r = 0.39, R² = 0.15, p = 0.034), which was statistically significant."
H1,Men U23,CMJ height (cm),Sinclair score,30,normal,normal,Pearson r,0.389,0.151,0.034,*,statistically significant,"In Men U23, CMJ height (cm) showed a moderate positive association with Sinclair score (Pearson r, r = 0.39, R² = 0.15, p = 0.034), which was statistically significant."
H1,Men U23,SJ height (cm),Snatch (kg),30,normal,normal,Pearson r,-0.092,0.008,0.628,ns,not statistically significant,"In Men U23, SJ height (cm) showed a negligible negative association with Snatch (kg) (Pearson r, r = -0.09, R² = 0.01, p = 0.628), which was not statistically significant."
H1,Men U23,SJ height (cm),Clean & Jerk (kg),30,normal,normal,Pearson r,-0.168,0.028,0.374,ns,not statistically significant,"In Men U23, SJ height (cm) showed a weak negative association with Clean & Jerk (kg) (Pearson r, r = -0.17, R² = 0.03, p = 0.374), which was not statistically significant."
H1,Men U23,SJ height (cm),Total (kg),30,normal,normal,Pearson r,-0.136,0.018,0.475,ns,not statistically significant,"In Men U23, SJ height (cm) showed a weak negative association with Total (kg) (Pearson r, r = -0.14, R² = 0.02, p = 0.475), which was not statistically significant."
H1,Men U23,SJ height (cm),Snatch Sinclair score,30,normal,normal,Pearson r,0.283,0.08,0.129,ns,not statistically significant,"In Men U23, SJ height (cm) showed a weak positive association with Snatch Sinclair score (Pearson r, r = 0.28, R² = 0.08, p = 0.129), which was not statistically significant."
H1,Men U23,SJ height (cm),Clean & Jerk Sinclair score,30,normal,normal,Pearson r,0.167,0.028,0.377,ns,not statistically significant,"In Men U23, SJ height (cm) showed a weak positive association with Clean & Jerk Sinclair score (Pearson r, r = 0.17, R² = 0.03, p = 0.377), which was not statistically significant."
H1,Men U23,SJ height (cm),Total Sinclair score (calculated),30,normal,normal,Pearson r,0.226,0.051,0.231,ns,not statistically significant,"In Men U23, SJ height (cm) showed a weak positive association with Total Sinclair score (calculated) (Pearson r, r = 0.23, R² = 0.05, p = 0.231), which was not statistically significant."
H1,Men U23,SJ height (cm),Sinclair score,30,normal,normal,Pearson r,0.226,0.051,0.231,ns,not statistically significant,"In Men U23, SJ height (cm) showed a weak positive association with Sinclair score (Pearson r, r = 0.23, R² = 0.05, p = 0.231), which was not statistically significant."
H1,Women U20,CMJ height (cm),Snatch (kg),41,non-normal,normal,Spearman rho,0.403,0.162,0.009,**,statistically significant,"In Women U20, CMJ height (cm) showed a moderate positive association with Snatch (kg) (Spearman rho, rho = 0.40, R² = 0.16, p = 0.009), which was statistically significant."
H1,Women U20,CMJ height (cm),Clean & Jerk (kg),41,non-normal,normal,Spearman rho,0.37,0.137,0.017,*,statistically significant,"In Women U20, CMJ height (cm) showed a moderate positive association with Clean & Jerk (kg) (Spearman rho, rho = 0.37, R² = 0.14, p = 0.017), which was statistically significant."
H1,Women U20,CMJ height (cm),Total (kg),41,non-normal,normal,Spearman rho,0.394,0.155,0.011,*,statistically significant,"In Women U20, CMJ height (cm) showed a moderate positive association with Total (kg) (Spearman rho, rho = 0.39, R² = 0.16, p = 0.011), which was statistically significant."
H1,Women U20,CMJ height (cm),Snatch Sinclair score,41,non-normal,normal,Spearman rho,0.232,0.054,0.144,ns,not statistically significant,"In Women U20, CMJ height (cm) showed a weak positive association with Snatch Sinclair score (Spearman rho, rho = 0.23, R² = 0.05, p = 0.144), which was not statistically significant."
H1,Women U20,CMJ height (cm),Clean & Jerk Sinclair score,41,non-normal,normal,Spearman rho,0.214,0.046,0.179,ns,not statistically significant,"In Women U20, CMJ height (cm) showed a weak positive association with Clean & Jerk Sinclair score (Spearman rho, rho = 0.21, R² = 0.05, p = 0.179), which was not statistically significant."
H1,Women U20,CMJ height (cm),Total Sinclair score (calculated),41,non-normal,normal,Spearman rho,0.225,0.05,0.158,ns,not statistically significant,"In Women U20, CMJ height (cm) showed a weak positive association with Total Sinclair score (calculated) (Spearman rho, rho = 0.22, R² = 0.05, p = 0.158), which was not statistically significant."
H1,Women U20,CMJ height (cm),Sinclair score,41,non-normal,normal,Spearman rho,0.225,0.05,0.158,ns,not statistically significant,"In Women U20, CMJ height (cm) showed a weak positive association with Sinclair score (Spearman rho, rho = 0.22, R² = 0.05, p = 0.158), which was not statistically significant."
H1,Women U20,SJ height (cm),Snatch (kg),41,non-normal,normal,Spearman rho,0.428,0.183,0.005,**,statistically significant,"In Women U20, SJ height (cm) showed a moderate positive association with Snatch (kg) (Spearman rho, rho = 0.43, R² = 0.18, p = 0.005), which was statistically significant."
H1,Women U20,SJ height (cm),Clean & Jerk (kg),41,non-normal,normal,Spearman rho,0.4,0.16,0.01,**,statistically significant,"In Women U20, SJ height (cm) showed a moderate positive association with Clean & Jerk (kg) (Spearman rho, rho = 0.40, R² = 0.16, p = 0.010), which was statistically significant."
H1,Women U20,SJ height (cm),Total (kg),41,non-normal,normal,Spearman rho,0.431,0.185,0.005,**,statistically significant,"In Women U20, SJ height (cm) showed a moderate positive association with Total (kg) (Spearman rho, rho = 0.43, R² = 0.19, p = 0.005), which was statistically significant."
H1,Women U20,SJ height (cm),Snatch Sinclair score,41,non-normal,normal,Spearman rho,0.22,0.049,0.166,ns,not statistically significant,"In Women U20, SJ height (cm) showed a weak positive association with Snatch Sinclair score (Spearman rho, rho = 0.22, R² = 0.05, p = 0.166), which was not statistically significant."
H1,Women U20,SJ height (cm),Clean & Jerk Sinclair score,41,non-normal,normal,Spearman rho,0.223,0.05,0.16,ns,not statistically significant,"In Women U20, SJ height (cm) showed a weak positive association with Clean & Jerk Sinclair score (Spearman rho, rho = 0.22, R² = 0.05, p = 0.160), which was not statistically significant."
H1,Women U20,SJ height (cm),Total Sinclair score (calculated),41,non-normal,normal,Spearman rho,0.234,0.055,0.141,ns,not statistically significant,"In Women U20, SJ height (cm) showed a weak positive association with Total Sinclair score (calculated) (Spearman rho, rho = 0.23, R² = 0.05, p = 0.141), which was not statistically significant."
H1,Women U20,SJ height (cm),Sinclair score,41,non-normal,normal,Spearman rho,0.234,0.055,0.141,ns,not statistically significant,"In Women U20, SJ height (cm) showed a weak positive association with Sinclair score (Spearman rho, rho = 0.23, R² = 0.05, p = 0.141), which was not statistically significant."
H1,Women U23,CMJ height (cm),Snatch (kg),18,non-normal,normal,Spearman rho,-0.058,0.003,0.819,ns,not statistically significant,"In Women U23, CMJ height (cm) showed a negligible negative association with Snatch (kg) (Spearman rho, rho = -0.06, R² = 0.00, p = 0.819), which was not statistically significant."
H1,Women U23,CMJ height (cm),Clean & Jerk (kg),18,non-normal,normal,Spearman rho,0.104,0.011,0.68,ns,not statistically significant,"In Women U23, CMJ height (cm) showed a weak positive association with Clean & Jerk (kg) (Spearman rho, rho = 0.10, R² = 0.01, p = 0.680), which was not statistically significant."
H1,Women U23,CMJ height (cm),Total (kg),18,non-normal,normal,Spearman rho,0.0,0.0,1.0,ns,not statistically significant,"In Women U23, CMJ height (cm) showed a negligible positive association with Total (kg) (Spearman rho, rho = 0.00, R² = 0.00, p = 1.000), which was not statistically significant."
H1,Women U23,CMJ height (cm),Snatch Sinclair score,18,non-normal,normal,Spearman rho,0.146,0.021,0.564,ns,not statistically significant,"In Women U23, CMJ height (cm) showed a weak positive association with Snatch Sinclair score (Spearman rho, rho = 0.15, R² = 0.02, p = 0.564), which was not statistically significant."
H1,Women U23,CMJ height (cm),Clean & Jerk Sinclair score,18,non-normal,normal,Spearman rho,0.368,0.135,0.133,ns,not statistically significant,"In Women U23, CMJ height (cm) showed a moderate positive association with Clean & Jerk Sinclair score (Spearman rho, rho = 0.37, R² = 0.14, p = 0.133), which was not statistically significant."
H1,Women U23,CMJ height (cm),Total Sinclair score (calculated),18,non-normal,normal,Spearman rho,0.32,0.102,0.195,ns,not statistically significant,"In Women U23, CMJ height (cm) showed a moderate positive association with Total Sinclair score (calculated) (Spearman rho, rho = 0.32, R² = 0.10, p = 0.195), which was not statistically significant."
H1,Women U23,CMJ height (cm),Sinclair score,18,non-normal,normal,Spearman rho,0.32,0.102,0.195,ns,not statistically significant,"In Women U23, CMJ height (cm) showed a moderate positive association with Sinclair score (Spearman rho, rho = 0.32, R² = 0.10, p = 0.195), which was not statistically significant."
H1,Women U23,SJ height (cm),Snatch (kg),18,normal,normal,Pearson r,0.143,0.021,0.571,ns,not statistically significant,"In Women U23, SJ height (cm) showed a weak positive association with Snatch (kg) (Pearson r, r = 0.14, R² = 0.02, p = 0.571), which was not statistically significant."
H1,Women U23,SJ height (cm),Clean & Jerk (kg),18,normal,normal,Pearson r,0.159,0.025,0.528,ns,not statistically significant,"In Women U23, SJ height (cm) showed a weak positive association with Clean & Jerk (kg) (Pearson r, r = 0.16, R² = 0.03, p = 0.528), which was not statistically significant."
H1,Women U23,SJ height (cm),Total (kg),18,normal,normal,Pearson r,0.155,0.024,0.538,ns,not statistically significant,"In Women U23, SJ height (cm) showed a weak positive association with Total (kg) (Pearson r, r = 0.16, R² = 0.02, p = 0.538), which was not statistically significant."
H1,Women U23,SJ height (cm),Snatch Sinclair score,18,normal,normal,Pearson r,0.319,0.102,0.197,ns,not statistically significant,"In Women U23, SJ height (cm) showed a moderate positive association with Snatch Sinclair score (Pearson r, r = 0.32, R² = 0.10, p = 0.197), which was not statistically significant."
H1,Women U23,SJ height (cm),Clean & Jerk Sinclair score,18,normal,normal,Pearson r,0.361,0.13,0.141,ns,not statistically significant,"In Women U23, SJ height (cm) showed a moderate positive association with Clean & Jerk Sinclair score (Pearson r, r = 0.36, R² = 0.13, p = 0.141), which was not statistically significant."
H1,Women U23,SJ height (cm),Total Sinclair score (calculated),18,normal,normal,Pearson r,0.354,0.125,0.149,ns,not statistically significant,"In Women U23, SJ height (cm) showed a moderate positive association with Total Sinclair score (calculated) (Pearson r, r = 0.35, R² = 0.13, p = 0.149), which was not statistically significant."
H1,Women U23,SJ height (cm),Sinclair score,18,normal,normal,Pearson r,0.354,0.125,0.149,ns,not statistically significant,"In Women U23, SJ height (cm) showed a moderate positive association with Sinclair score (Pearson r, r = 0.35, R² = 0.13, p = 0.149), which was not statistically significant."
H1,Whole sample,CMJ height (cm),Snatch (kg),140,normal,non-normal,Spearman rho,0.468,0.219,0.0,***,statistically significant,"In Whole sample, CMJ height (cm) showed a moderate positive association with Snatch (kg) (Spearman rho, rho = 0.47, R² = 0.22, p < 0.001), which was statistically significant."
H1,Whole sample,CMJ height (cm),Clean & Jerk (kg),140,normal,non-normal,Spearman rho,0.46,0.212,0.0,***,statistically significant,"In Whole sample, CMJ height (cm) showed a moderate positive association with Clean & Jerk (kg) (Spearman rho, rho = 0.46, R² = 0.21, p < 0.001), which was statistically significant."
H1,Whole sample,CMJ height (cm),Total (kg),140,normal,non-normal,Spearman rho,0.465,0.216,0.0,***,statistically significant,"In Whole sample, CMJ height (cm) showed a moderate positive association with Total (kg) (Spearman rho, rho = 0.47, R² = 0.22, p < 0.001), which was statistically significant."
H1,Whole sample,CMJ height (cm),Snatch Sinclair score,140,normal,non-normal,Spearman rho,0.545,0.297,0.0,***,statistically significant,"In Whole sample, CMJ height (cm) showed a strong positive association with Snatch Sinclair score (Spearman rho, rho = 0.55, R² = 0.30, p < 0.001), which was statistically significant."
H1,Whole sample,CMJ height (cm),Clean & Jerk Sinclair score,140,normal,non-normal,Spearman rho,0.54,0.292,0.0,***,statistically significant,"In Whole sample, CMJ height (cm) showed a strong positive association with Clean & Jerk Sinclair score (Spearman rho, rho = 0.54, R² = 0.29, p < 0.001), which was statistically significant."
H1,Whole sample,CMJ height (cm),Total Sinclair score (calculated),140,normal,non-normal,Spearman rho,0.544,0.296,0.0,***,statistically significant,"In Whole sample, CMJ height (cm) showed a strong positive association with Total Sinclair score (calculated) (Spearman rho, rho = 0.54, R² = 0.30, p < 0.001), which was statistically significant."
H1,Whole sample,CMJ height (cm),Sinclair score,140,normal,non-normal,Spearman rho,0.544,0.296,0.0,***,statistically significant,"In Whole sample, CMJ height (cm) showed a strong positive association with Sinclair score (Spearman rho, rho = 0.54, R² = 0.30, p < 0.001), which was statistically significant."
H1,Whole sample,SJ height (cm),Snatch (kg),138,non-normal,non-normal,Spearman rho,0.413,0.171,0.0,***,statistically significant,"In Whole sample, SJ height (cm) showed a moderate positive association with Snatch (kg) (Spearman rho, rho = 0.41, R² = 0.17, p < 0.001), which was statistically significant."
