Hypothesis,Group,Predictor,Outcome,n,Normality predictor,Normality outcome,Method,Coefficient,R2,p-value,Significance,Result,Interpretation sentence
H2,Men U20,Dominant handgrip strength (kg),Snatch (kg),71,normal,normal,Pearson r,0.634,0.403,0.0,***,statistically significant,"In Men U20, Dominant handgrip strength (kg) showed a strong positive association with Snatch (kg) (Pearson r, r = 0.63, R² = 0.40, p < 0.001), which was statistically significant."
H2,Men U20,Dominant handgrip strength (kg),Clean & Jerk (kg),71,normal,normal,Pearson r,0.623,0.388,0.0,***,statistically significant,"In Men U20, Dominant handgrip strength (kg) showed a strong positive association with Clean & Jerk (kg) (Pearson r, r = 0.62, R² = 0.39, p < 0.001), which was statistically significant."
H2,Men U20,Dominant handgrip strength (kg),Total (kg),71,normal,normal,Pearson r,0.635,0.403,0.0,***,statistically significant,"In Men U20, Dominant handgrip strength (kg) showed a strong positive association with Total (kg) (Pearson r, r = 0.64, R² = 0.40, p < 0.001), which was statistically significant."
H2,Men U20,Dominant handgrip strength (kg),Snatch Sinclair score,71,normal,normal,Pearson r,0.127,0.016,0.291,ns,not statistically significant,"In Men U20, Dominant handgrip strength (kg) showed a weak positive association with Snatch Sinclair score (Pearson r, r = 0.13, R² = 0.02, p = 0.291), which was not statistically significant."
H2,Men U20,Dominant handgrip strength (kg),Clean & Jerk Sinclair score,71,normal,normal,Pearson r,0.073,0.005,0.545,ns,not statistically significant,"In Men U20, Dominant handgrip strength (kg) showed a negligible positive association with Clean & Jerk Sinclair score (Pearson r, r = 0.07, R² = 0.01, p = 0.545), which was not statistically significant."
H2,Men U20,Dominant handgrip strength (kg),Total Sinclair score (calculated),71,normal,normal,Pearson r,0.101,0.01,0.404,ns,not statistically significant,"In Men U20, Dominant handgrip strength (kg) showed a weak positive association with Total Sinclair score (calculated) (Pearson r, r = 0.10, R² = 0.01, p = 0.404), which was not statistically significant."
H2,Men U20,Dominant handgrip strength (kg),Sinclair score,71,normal,normal,Pearson r,0.101,0.01,0.404,ns,not statistically significant,"In Men U20, Dominant handgrip strength (kg) showed a weak positive association with Sinclair score (Pearson r, r = 0.10, R² = 0.01, p = 0.404), which was not statistically significant."
H2,Men U23,Dominant handgrip strength (kg),Snatch (kg),47,normal,normal,Pearson r,0.553,0.306,0.0,***,statistically significant,"In Men U23, Dominant handgrip strength (kg) showed a strong positive association with Snatch (kg) (Pearson r, r = 0.55, R² = 0.31, p < 0.001), which was statistically significant."
H2,Men U23,Dominant handgrip strength (kg),Clean & Jerk (kg),47,normal,normal,Pearson r,0.577,0.333,0.0,***,statistically significant,"In Men U23, Dominant handgrip strength (kg) showed a strong positive association with Clean & Jerk (kg) (Pearson r, r = 0.58, R² = 0.33, p < 0.001), which was statistically significant."
H2,Men U23,Dominant handgrip strength (kg),Total (kg),47,normal,normal,Pearson r,0.573,0.328,0.0,***,statistically significant,"In Men U23, Dominant handgrip strength (kg) showed a strong positive association with Total (kg) (Pearson r, r = 0.57, R² = 0.33, p < 0.001), which was statistically significant."
H2,Men U23,Dominant handgrip strength (kg),Snatch Sinclair score,47,normal,normal,Pearson r,0.25,0.063,0.089,ns,not statistically significant,"In Men U23, Dominant handgrip strength (kg) showed a weak positive association with Snatch Sinclair score (Pearson r, r = 0.25, R² = 0.06, p = 0.089), which was not statistically significant."
H2,Men U23,Dominant handgrip strength (kg),Clean & Jerk Sinclair score,47,normal,normal,Pearson r,0.329,0.108,0.024,*,statistically significant,"In Men U23, Dominant handgrip strength (kg) showed a moderate positive association with Clean & Jerk Sinclair score (Pearson r, r = 0.33, R² = 0.11, p = 0.024), which was statistically significant."
H2,Men U23,Dominant handgrip strength (kg),Total Sinclair score (calculated),47,normal,normal,Pearson r,0.302,0.091,0.039,*,statistically significant,"In Men U23, Dominant handgrip strength (kg) showed a moderate positive association with Total Sinclair score (calculated) (Pearson r, r = 0.30, R² = 0.09, p = 0.039), which was statistically significant."
H2,Men U23,Dominant handgrip strength (kg),Sinclair score,47,normal,normal,Pearson r,0.302,0.091,0.039,*,statistically significant,"In Men U23, Dominant handgrip strength (kg) showed a moderate positive association with Sinclair score (Pearson r, r = 0.30, R² = 0.09, p = 0.039), which was statistically significant."
H2,Women U20,Dominant handgrip strength (kg),Snatch (kg),59,normal,normal,Pearson r,0.592,0.351,0.0,***,statistically significant,"In Women U20, Dominant handgrip strength (kg) showed a strong positive association with Snatch (kg) (Pearson r, r = 0.59, R² = 0.35, p < 0.001), which was statistically significant."
H2,Women U20,Dominant handgrip strength (kg),Clean & Jerk (kg),59,normal,normal,Pearson r,0.534,0.285,0.0,***,statistically significant,"In Women U20, Dominant handgrip strength (kg) showed a strong positive association with Clean & Jerk (kg) (Pearson r, r = 0.53, R² = 0.28, p < 0.001), which was statistically significant."
H2,Women U20,Dominant handgrip strength (kg),Total (kg),59,normal,normal,Pearson r,0.567,0.322,0.0,***,statistically significant,"In Women U20, Dominant handgrip strength (kg) showed a strong positive association with Total (kg) (Pearson r, r = 0.57, R² = 0.32, p < 0.001), which was statistically significant."
H2,Women U20,Dominant handgrip strength (kg),Snatch Sinclair score,59,normal,normal,Pearson r,0.238,0.057,0.069,ns,not statistically significant,"In Women U20, Dominant handgrip strength (kg) showed a weak positive association with Snatch Sinclair score (Pearson r, r = 0.24, R² = 0.06, p = 0.069), which was not statistically significant."
H2,Women U20,Dominant handgrip strength (kg),Clean & Jerk Sinclair score,59,normal,normal,Pearson r,0.138,0.019,0.299,ns,not statistically significant,"In Women U20, Dominant handgrip strength (kg) showed a weak positive association with Clean & Jerk Sinclair score (Pearson r, r = 0.14, R² = 0.02, p = 0.299), which was not statistically significant."
H2,Women U20,Dominant handgrip strength (kg),Total Sinclair score (calculated),59,normal,normal,Pearson r,0.189,0.036,0.151,ns,not statistically significant,"In Women U20, Dominant handgrip strength (kg) showed a weak positive association with Total Sinclair score (calculated) (Pearson r, r = 0.19, R² = 0.04, p = 0.151), which was not statistically significant."
H2,Women U20,Dominant handgrip strength (kg),Sinclair score,59,normal,normal,Pearson r,0.19,0.036,0.15,ns,not statistically significant,"In Women U20, Dominant handgrip strength (kg) showed a weak positive association with Sinclair score (Pearson r, r = 0.19, R² = 0.04, p = 0.150), which was not statistically significant."
