Hypothesis,Group,Predictor,Outcome,n,Normality predictor,Normality outcome,Method,Coefficient,R2,p-value,Significance,Result,Interpretation sentence
H3,Men U20,Arm circumference (cm),Snatch (kg),71,non-normal,normal,Spearman rho,0.681,0.463,0.0,***,statistically significant,"In Men U20, Arm circumference (cm) showed a strong positive association with Snatch (kg) (Spearman rho, rho = 0.68, R² = 0.46, p < 0.001), which was statistically significant."
H3,Men U20,Arm circumference (cm),Clean & Jerk (kg),71,non-normal,normal,Spearman rho,0.714,0.51,0.0,***,statistically significant,"In Men U20, Arm circumference (cm) showed a very strong positive association with Clean & Jerk (kg) (Spearman rho, rho = 0.71, R² = 0.51, p < 0.001), which was statistically significant."
H3,Men U20,Arm circumference (cm),Total (kg),71,non-normal,normal,Spearman rho,0.704,0.496,0.0,***,statistically significant,"In Men U20, Arm circumference (cm) showed a very strong positive association with Total (kg) (Spearman rho, rho = 0.70, R² = 0.50, p < 0.001), which was statistically significant."
H3,Men U20,Arm circumference (cm),Snatch Sinclair score,71,non-normal,normal,Spearman rho,0.049,0.002,0.685,ns,not statistically significant,"In Men U20, Arm circumference (cm) showed a negligible positive association with Snatch Sinclair score (Spearman rho, rho = 0.05, R² = 0.00, p = 0.685), which was not statistically significant."
H3,Men U20,Arm circumference (cm),Clean & Jerk Sinclair score,71,non-normal,normal,Spearman rho,0.01,0.0,0.932,ns,not statistically significant,"In Men U20, Arm circumference (cm) showed a negligible positive association with Clean & Jerk Sinclair score (Spearman rho, rho = 0.01, R² = 0.00, p = 0.932), which was not statistically significant."
H3,Men U20,Arm circumference (cm),Total Sinclair score (calculated),71,non-normal,normal,Spearman rho,0.023,0.001,0.851,ns,not statistically significant,"In Men U20, Arm circumference (cm) showed a negligible positive association with Total Sinclair score (calculated) (Spearman rho, rho = 0.02, R² = 0.00, p = 0.851), which was not statistically significant."
H3,Men U20,Arm circumference (cm),Sinclair score,71,non-normal,normal,Spearman rho,0.023,0.001,0.849,ns,not statistically significant,"In Men U20, Arm circumference (cm) showed a negligible positive association with Sinclair score (Spearman rho, rho = 0.02, R² = 0.00, p = 0.849), which was not statistically significant."
H3,Men U20,Thigh circumference (cm),Snatch (kg),71,non-normal,normal,Spearman rho,0.718,0.516,0.0,***,statistically significant,"In Men U20, Thigh circumference (cm) showed a very strong positive association with Snatch (kg) (Spearman rho, rho = 0.72, R² = 0.52, p < 0.001), which was statistically significant."
H3,Men U20,Thigh circumference (cm),Clean & Jerk (kg),71,non-normal,normal,Spearman rho,0.735,0.541,0.0,***,statistically significant,"In Men U20, Thigh circumference (cm) showed a very strong positive association with Clean & Jerk (kg) (Spearman rho, rho = 0.74, R² = 0.54, p < 0.001), which was statistically significant."
H3,Men U20,Thigh circumference (cm),Total (kg),71,non-normal,normal,Spearman rho,0.736,0.541,0.0,***,statistically significant,"In Men U20, Thigh circumference (cm) showed a very strong positive association with Total (kg) (Spearman rho, rho = 0.74, R² = 0.54, p < 0.001), which was statistically significant."
