Hypothesis,Group,Predictor,Outcome,n,Normality predictor,Normality outcome,Method,Coefficient,R2,p-value,Significance,Result,Interpretation sentence
H5,Men U20,Eccentric utilization ratio (EUR),Sinclair score,49,non-normal,non-normal,Spearman rho,-0.188,0.035,0.196,ns,not statistically significant,"In Men U20, Eccentric utilization ratio (EUR) showed a weak negative association with Sinclair score (Spearman rho, rho = -0.19, R² = 0.04, p = 0.196), which was not statistically significant."
H5,Men U20,Eccentric utilization ratio (EUR),Total Sinclair score (calculated),49,non-normal,non-normal,Spearman rho,-0.189,0.036,0.194,ns,not statistically significant,"In Men U20, Eccentric utilization ratio (EUR) showed a weak negative association with Total Sinclair score (calculated) (Spearman rho, rho = -0.19, R² = 0.04, p = 0.194), which was not statistically significant."
H5,Men U23,Eccentric utilization ratio (EUR),Sinclair score,30,non-normal,normal,Spearman rho,0.06,0.004,0.755,ns,not statistically significant,"In Men U23, Eccentric utilization ratio (EUR) showed a negligible positive association with Sinclair score (Spearman rho, rho = 0.06, R² = 0.00, p = 0.755), which was not statistically significant."
H5,Men U23,Eccentric utilization ratio (EUR),Total Sinclair score (calculated),30,non-normal,normal,Spearman rho,0.06,0.004,0.755,ns,not statistically significant,"In Men U23, Eccentric utilization ratio (EUR) showed a negligible positive association with Total Sinclair score (calculated) (Spearman rho, rho = 0.06, R² = 0.00, p = 0.755), which was not statistically significant."
H5,Women U20,Eccentric utilization ratio (EUR),Sinclair score,41,non-normal,normal,Spearman rho,-0.092,0.008,0.569,ns,not statistically significant,"In Women U20, Eccentric utilization ratio (EUR) showed a negligible negative association with Sinclair score (Spearman rho, rho = -0.09, R² = 0.01, p = 0.569), which was not statistically significant."
H5,Women U20,Eccentric utilization ratio (EUR),Total Sinclair score (calculated),41,non-normal,normal,Spearman rho,-0.092,0.008,0.569,ns,not statistically significant,"In Women U20, Eccentric utilization ratio (EUR) showed a negligible negative association with Total Sinclair score (calculated) (Spearman rho, rho = -0.09, R² = 0.01, p = 0.569), which was not statistically significant."
H5,Women U23,Eccentric utilization ratio (EUR),Sinclair score,18,non-normal,normal,Spearman rho,-0.3,0.09,0.226,ns,not statistically significant,"In Women U23, Eccentric utilization ratio (EUR) showed a moderate negative association with Sinclair score (Spearman rho, rho = -0.30, R² = 0.09, p = 0.226), which was not statistically significant."
H5,Women U23,Eccentric utilization ratio (EUR),Total Sinclair score (calculated),18,non-normal,normal,Spearman rho,-0.3,0.09,0.226,ns,not statistically significant,"In Women U23, Eccentric utilization ratio (EUR) showed a moderate negative association with Total Sinclair score (calculated) (Spearman rho, rho = -0.30, R² = 0.09, p = 0.226), which was not statistically significant."
H5,Whole sample,Eccentric utilization ratio (EUR),Sinclair score,138,non-normal,non-normal,Spearman rho,0.116,0.013,0.177,ns,not statistically significant,"In Whole sample, Eccentric utilization ratio (EUR) showed a weak positive association with Sinclair score (Spearman rho, rho = 0.12, R² = 0.01, p = 0.177), which was not statistically significant."
H5,Whole sample,Eccentric utilization ratio (EUR),Total Sinclair score (calculated),138,non-normal,non-normal,Spearman rho,0.116,0.013,0.177,ns,not statistically significant,"In Whole sample, Eccentric utilization ratio (EUR) showed a weak positive association with Total Sinclair score (calculated) (Spearman rho, rho = 0.12, R² = 0.01, p = 0.177), which was not statistically significant."
