Věková skupina,Pohlaví,Váhová kategorie,Umístění,Lot,B.weight,Snatch,Clean Jerk,Result,Délka ruky (cm),Délka nohy (cm),Biceps (cm),Stehno (cm),Výška (cm),Handgrip P,Handgrip L,3. pokus,CMJ Height,CMJ Force,CMJ RFD,CMJ Power,SJ Height,SJ Power,SJ Force,Weight,Sinclair
Junior,Ženy,48 kg,1,101.0,47.59,77,98,175,,,,,,,,,,,,,,,,,279.87
Junior,Ženy,48 kg,2,63.0,47.63,78,96,174,59.0,43.0,26.0,52.0,152.0,24.8,24.2,,52.13,2040.87,1308.36,5634.54,46.82,5846.95,2552.64,82.49,278.09
Junior,Ženy,48 kg,3,878.0,47.38,76,94,170,,,,,,,,,,,,,,,,,272.84
Junior,Ženy,48 kg,4,257.0,47.86,70,96,166,,,,,,,,,,,,,,,,,264.28
Junior,Ženy,48 kg,5,874.0,44.89,74,89,163,52.0,42.0,25.5,49.0,157.5,,,,34.45,1113.43,3415.36,2261.41,31.89,3597.93,1485.22,69.9,273.49
Junior,Ženy,48 kg,6,834.0,47.42,70,84,154,,,,,,,,,,,,,,,,,247.0
Junior,Ženy,48 kg,7,412.0,47.79,66,81,147,,,,,,,,,,,,,,,,,234.31
Junior,Ženy,48 kg,8,517.0,47.85,60,80,140,53.0,78.0,28.5,50.0,151.0,30.1,32.1,,37.09,1457.06,8456.27,2669.7,35.49,2595.71,1184.81,49.5,222.93
Junior,Ženy,48 kg,9,135.0,47.71,57,76,133,58.0,76.0,26.0,52.0,157.5,36.5,32.8,,35.23,1143.19,3220.06,2344.45,31.15,2169.52,1017.68,49.76,212.28
Junior,Ženy,53 kg,1,469.0,52.99,85,104,189,55.0,76.0,31.0,57.0,154.5,39.0,35.4,,44.74,1574.09,5973.09,3866.97,40.68,3900.98,1785.29,53.62,278.42
Junior,Ženy,53 kg,2,860.0,52.68,82,101,183,,,,,,,,,,,,,,,,,270.74
Junior,Ženy,53 kg,3,222.0,52.55,84,98,182,,,,,,,,,,,,,,,,,269.75
Junior,Ženy,53 kg,4,1.0,52.79,81,100,181,54.0,73.0,30.0,52.5,159.0,34.9,37.3,,33.41,1601.29,7503.55,3086.41,31.64,2980.86,1453.95,54.56,267.37
Junior,Ženy,53 kg,5,508.0,52.64,75,91,166,56.0,49.0,29.0,53.0,156.0,43.4,42.6,,,,,,,,,,245.72
Junior,Ženy,53 kg,6,778.0,52.07,70,92,162,54.0,48.0,29.0,55.0,157.0,41.3,42.3,,35.23,1456.31,6705.59,3058.24,29.93,2919.93,1553.78,53.05,241.73
Junior,Ženy,53 kg,7,994.0,51.93,69,92,161,,,,,,,,,,,,,,,,,240.72
Junior,Ženy,53 kg,8,51.0,52.3,70,86,156,,,,,,,,,,,,,,,,,232.02
Junior,Ženy,53 kg,9,576.0,52.14,70,85,155,,,,,,,,,,,,,,,,,231.06
Junior,Ženy,53 kg,10,170.0,52.62,65,87,152,,,,,,,,,,,,,,,,,225.06
Junior,Ženy,53 kg,11,908.0,52.19,68,83,151,54.0,44.0,26.0,55.0,149.0,36.1,33.8,,35.23,1341.53,3198.42,2922.82,32.9,2910.21,1443.49,160.79,224.94
Junior,Ženy,53 kg,12,634.0,52.07,65,84,149,57.0,82.0,24.5,55.0,160.5,32.7,24.8,31.0,32.4,1651.5,9948.44,2891.28,30.66,3027.7,1606.58,53.32,222.33
Junior,Ženy,58 kg,1,747.0,56.9,91,123,214,,,,,,,,,,,,,,,,,299.85
Junior,Ženy,58 kg,2,233.0,57.33,87,118,205,,,,,,,,,,,,,,,,,285.78
